m_X,m_Y,m_H,sigma
600.0,1200.0,0.0,0.0
600.0,1400.0,0.0,0.0
700.0,60.0,127.08005702987722,14.00999539173035
700.0,70.0,127.04866941285142,13.808867873565903
700.0,80.0,126.61803189028284,13.135299287630557
700.0,90.0,125.41389876633399,11.937023396136203
700.0,100.0,124.16551914457047,10.727088620241771
700.0,125.0,123.75779658377465,10.188037511415054
700.0,150.0,126.21843720256594,12.925686612694408
700.0,200.0,127.08398137726701,14.13017599617715
700.0,250.0,126.84767851970064,14.137920274564518
700.0,300.0,126.60542916509824,14.098895971881197
700.0,400.0,126.13280805880248,13.94841400253776
700.0,500.0,125.82271571431443,13.667380943701659
700.0,600.0,0.0,0.0
700.0,700.0,0.0,0.0
700.0,800.0,0.0,0.0
700.0,900.0,0.0,0.0
700.0,1000.0,0.0,0.0
700.0,1200.0,0.0,0.0
700.0,1400.0,0.0,0.0
800.0,60.0,127.27418433856506,14.1612300268625
800.0,70.0,127.4415865527572,13.871981697503012
800.0,80.0,126.98154582553113,13.011892696042214
800.0,90.0,125.83377238470932,11.808633929985747
800.0,100.0,124.6452602575586,10.66276121233983
800.0,125.0,124.18365390150225,10.29294806666609
800.0,150.0,126.84343418077303,13.040691957086606
800.0,200.0,127.66165759818504,14.25497615898497
800.0,250.0,127.50896168232717,14.30366179298171
800.0,300.0,127.2878530887885,14.218792521186357
800.0,400.0,126.80261452694437,14.302285188455691
800.0,500.0,126.22805108059269,14.269989018012312
800.0,600.0,126.00365057718214,13.879800523663368
800.0,700.0,0.0,0.0
800.0,800.0,0.0,0.0
800.0,900.0,0.0,0.0
800.0,1000.0,0.0,0.0
800.0,1200.0,0.0,0.0
800.0,1400.0,0.0,0.0
900.0,60.0,127.55732806916961,14.309607623479673
900.0,70.0,127.97234376920844,13.834271200478785
900.0,80.0,0.0,0.0
900.0,90.0,126.15861445077006,11.668646727883562
900.0,100.0,124.93331489266173,10.723040042188753
900.0,125.0,124.6562485083098,10.339454618750738
900.0,150.0,127.51683499982414,13.060381398754977
900.0,200.0,128.3815605838605,14.186940264486744
900.0,250.0,128.1609489829411,14.332017030801454
900.0,300.0,0.0,0.0
900.0,400.0,127.69976283104575,14.31554886011213
900.0,500.0,127.11540772488961,14.449017995393298
900.0,600.0,126.47734287369609,14.518139764111773
900.0,700.0,126.19502945958617,14.284029461010732
900.0,800.0,0.0,0.0
900.0,900.0,0.0,0.0
900.0,1000.0,0.0,0.0
900.0,1200.0,0.0,0.0
900.0,1400.0,0.0,0.0
1000.0,60.0,127.62995241658977,14.45665107117476
1000.0,70.0,127.90815569683137,13.793983731632766
